Method,LogLik,sigma_y,a,b,sigma_x,ID
Robust (c=5.14),-628.38452928147,0.22857388995055727,0.006082345462063556,0.9996336167981257,0.006000009767149699,0
Standard (c=1000),-2197.266046566633,0.482189616178227,0.04465273402740079,0.9959313471314806,0.004817827929890758,0
Robust (c=5.14),-1379.9224407914787,0.30366853901942004,0.13211686160252986,0.9943084094018686,0.01095681533948252,1
Standard (c=1000),-4802.789066323051,1.1832071852943962,0.06731585149938515,0.9683855185147752,0.040879848595737615,1
Robust (c=5.14),-628.8427073872514,0.22991158899526512,0.0015698421278215022,0.9998586097070521,0.0063235142856700515,2
Standard (c=1000),-2218.9931992164634,0.4418809278268579,0.0014569546749636547,0.9996183113409278,0.004366100780562629,2
Robust (c=5.14),-632.6696420705109,0.23151630170472554,0.010498762989323503,0.9994268464959144,0.006150157693924545,3
Standard (c=1000),-2203.45986810379,0.4704420061944366,0.021879219204011265,0.9980448825682695,0.005569548861721768,3
Robust (c=5.14),-2830.8587088819536,0.8828188629007901,0.028108859340387357,0.9975541435335252,0.0011578300088516305,4
Standard (c=1000),-3038.6908214408677,0.9017617787513047,0.01291542828537872,0.9987015814924278,0.0038117103463171723,4
Robust (c=5.14),-2571.516664435728,0.19814006207428494,0.3437566293571769,0.9997626025371998,0.050440775806481604,5
Standard (c=1000),-2626.244957797332,0.455527946888447,0.32950230797310487,0.9764765249432554,0.02874624934802532,5
Robust (c=5.14),-2199.413355310502,0.6099774275991134,0.010905526624032835,0.9973151281576946,0.01585032826945251,6
Standard (c=1000),-2520.464768317489,0.6668973651798279,0.048186112140723436,0.9950921251169726,0.005436958966463877,6
Robust (c=5.14),-624.7474651829625,0.22180580394106406,0.021784650846435934,0.9980561096392759,0.007001384413843411,7
Standard (c=1000),-2227.634095028784,0.452361523696343,0.05467577092775172,0.9952227584028228,0.009589920526688415,7
Robust (c=5.14),-900.4687014236636,0.30618042206051205,0.011455052846871414,0.9998703796606109,0.011510863355538062,8
Standard (c=1000),-2263.761665104409,0.5262609823769585,0.006442623082281614,0.998946400829833,0.006256806171733922,8
Robust (c=5.14),-711.6874440863704,0.23169213411412817,0.016643132639441074,0.9977018842041376,0.004219420935381594,9
Standard (c=1000),-2221.2934864591175,0.47250883136877364,0.03548278260088118,0.9974383575368261,0.004921879678167561,9
Robust (c=5.14),-634.1159516640078,0.22921839231875085,0.005984539514789995,0.9999999249774353,0.006950424431607253,10
Standard (c=1000),-2206.5556109041127,0.4803252215451456,0.0034136885311985797,0.9999674550739025,0.00507719045872161,10
Robust (c=5.14),-634.5007057277287,0.2307141187756659,0.0007691419936265305,0.9996253489190348,0.005797316336487645,11
Standard (c=1000),-2287.5865330504616,0.4391680281363025,0.00036836376547126246,0.9989063669062597,0.005546334351003735,11
Robust (c=5.14),-627.7290616756463,0.23028829093605657,0.011139359421927474,0.9989202339645034,0.006226327513247327,12
Standard (c=1000),-2212.4529946364487,0.46110656220261187,0.04415448433060588,0.9963307536771934,0.007879430394517883,12
Robust (c=5.14),-987.1416416091711,0.3363912818252475,0.21493918097078257,0.9802525327486553,0.003140764706070685,13
Standard (c=1000),-2752.498856093631,0.463891931504614,0.1105507398650031,0.9999999999999972,0.02528649750514824,13
Robust (c=5.14),-624.1064026677645,0.22887222265698565,0.08877816930260282,0.9918919339127158,0.006998690080916233,14
Standard (c=1000),-2398.391839748608,0.4220846668800877,0.08851313997070813,0.9956063504536704,0.012937253020788545,14
Robust (c=5.14),-745.0695415558973,0.19531910800591418,0.013513656242564422,0.9966370590038076,0.010650691229959595,15
Standard (c=1000),-2243.2499832631825,0.44639898032127057,0.04082837931378653,0.9964112105836677,0.010642017962410249,15
Robust (c=5.14),-1389.711056006643,0.38086753873304025,0.07563403225544318,0.9917886511666367,0.0185752106378438,16
Standard (c=1000),-2245.773890537025,0.4696175936742127,0.08165364204841119,0.9926164780509514,0.0026960377270318927,16
Robust (c=5.14),-5022.775755256654,1.8675794763800664,0.07538193840093035,0.9941028384455063,3.575985861827153e-05,17
Standard (c=1000),-4999.978933641165,1.8506529631340105,0.09106290621985284,0.9929033464857938,6.010003911452287e-05,17
Robust (c=5.14),-623.6237544563735,0.22645736333586286,0.04057547735361211,0.9963382580528813,0.007136962552049611,18
Standard (c=1000),-2204.541610554122,0.45813430973231084,0.051104263042879766,0.99566548860366,0.006749162644353305,18
Robust (c=5.14),-698.5175503477616,0.248198665700468,0.06477468270388154,0.9940010747655564,0.0029692390872945403,19
Standard (c=1000),-2273.825239088391,0.44358735549245865,0.06767301287703903,0.9937912445852529,0.0021862901621820512,19
Robust (c=5.14),-731.389100342868,0.24043228815684106,0.07100747573628705,0.9933900024431436,0.012668676601340537,20
Standard (c=1000),-2936.908085825245,0.6020095131321545,0.09020906591192582,0.9998140579808329,0.03340779356091199,20
Robust (c=5.14),-648.9235256048322,0.24714317773514308,0.021223618655129436,0.9975885466033557,0.0067408768565392395,21
Standard (c=1000),-2196.6166128534164,0.46925535223910175,0.02643822201964826,0.9976714094614313,0.00544588357398929,21
Robust (c=5.14),-1222.708781029656,0.16578229530492236,0.10548937628254834,0.9999997880973617,0.02462335884828856,22
Standard (c=1000),-8940.29709826178,0.15975891559357852,0.04812812288507694,0.9411391639994027,0.3396164156182592,22
Robust (c=5.14),-622.8077060816526,0.21976372402142927,0.06919920715408504,0.9936312483666118,0.007086139373323431,23
Standard (c=1000),-2202.982936734693,0.4624475470220272,0.1281087069191162,0.9883366494702245,0.006534484205673514,23
Robust (c=5.14),-2482.1994284633893,0.7641595753479329,0.008243683544017295,0.9992228523179879,0.0045914337922821485,24
Standard (c=1000),-2902.0587315251496,0.8453976594203034,0.05000850930642092,0.9956462615558703,0.0021349283016302333,24
Robust (c=5.14),-2140.699100527642,0.6360422177809362,0.02835679197497437,0.9974900046850509,0.0004955735827888457,25
Standard (c=1000),-2562.237746603912,0.555812309328381,0.08882970261758263,0.9964647562534598,0.01329707528561503,25
Robust (c=5.14),-636.600282086639,0.2169311960889293,0.05044336822811349,0.9958549994468988,0.00865211901543262,26
Standard (c=1000),-2262.3976486584697,0.44540927234198396,0.020320629308288613,0.999395083654894,0.011599232546796437,26
Robust (c=5.14),-635.7436730802352,0.2254267959279002,0.23199910113033595,0.9785011053704984,0.008027218922196712,27
Standard (c=1000),-7581.008409318679,0.2937475924473515,0.08149261440885493,0.9765153893662054,0.3495118358239391,27
Robust (c=5.14),-1622.5706324755229,0.25458543411286777,0.1535565912470085,0.9997441389811029,0.027075120186797877,28
