Method,LogLik,sigma_y,a,b,sigma_x,ID
Robust (c=5.14),-2798.811603212522,0.3232682418475974,0.04415466577917444,0.9961219012879983,0.011756823647490333,0
Standard (c=1000),-3699.921880422834,0.4907364446861205,0.07400287532925923,0.9921208099150559,0.014861443037574558,0
Robust (c=5.14),-7350.802452662092,0.9555721084800204,0.06262178446068076,0.953694567065188,0.06443535545761718,1
Standard (c=1000),-7108.058842860783,1.0098295331659317,0.05497353681781547,0.9642516675108833,0.054897183704725135,1
Robust (c=5.14),-2790.07605291475,0.3080053039438994,0.0020234091196731988,0.9995407061519181,0.012393576713065298,2
Standard (c=1000),-3593.344496999148,0.4700707806979151,0.003608759231096101,0.9993386748246816,0.008538167954371853,2
Robust (c=5.14),-2838.77548744982,0.34924339015804406,0.07234228432303627,0.991951005111039,0.014047846605121438,3
Standard (c=1000),-3594.0043434876206,0.4627394672102866,0.00909399408911887,0.9993781748905451,0.010397410033417018,3
Robust (c=5.14),-4979.076427215685,0.9102566033740592,0.0017601810240336843,0.9990784499257789,0.009214546375454562,4
Standard (c=1000),-4858.155392344875,0.8991960086576543,0.011888032326024412,0.9990527582231958,0.0028850221034828045,4
Robust (c=5.14),-2958.3046173492858,0.26844569283106384,0.05159830450654984,0.990697967330078,0.020840694993327885,5
Standard (c=1000),-11211.366669864525,0.8714901877977547,0.0949901493158653,0.9334265776546348,0.3555563009986767,5
Robust (c=5.14),-3464.842359951225,0.4812883778758058,0.04940555846555453,0.9996847369098832,0.017104013584423525,6
Standard (c=1000),-4549.525628687161,0.8020961658871897,0.03719715600175644,0.9959727062026376,0.0059391245677594285,6
Robust (c=5.14),-2823.6669539893073,0.3197404916828409,0.015302785782348336,0.9968638119067083,0.014832393071700662,7
Standard (c=1000),-3610.4509340662207,0.4655322477979294,0.013153854997876045,0.9983916806266763,0.01173193613778559,7
Robust (c=5.14),-3531.9987943459696,0.5746306159006774,0.02070046661198266,0.9991124498041535,0.010018548723771212,8
Standard (c=1000),-4022.5839479282977,0.668123280164132,0.017139584138744546,0.9980844752347117,0.004128241512252315,8
Robust (c=5.14),-2900.0368065490993,0.380311149866206,0.03958571704987536,0.9956120656944292,0.0050746576907118295,9
Standard (c=1000),-3889.634112284468,0.49997533218412304,0.040613956987188476,0.9955709913492115,0.0027878840336524706,9
Robust (c=5.14),-2786.12310629507,0.31464922742048385,0.0034234147300176965,0.9999229681935949,0.015187008784223601,10
Standard (c=1000),-3603.6612242280844,0.45404912666923813,0.003427822337891415,0.9995774304182766,0.006007916706070055,10
Robust (c=5.14),-2793.2591486346714,0.33313117327729536,0.0006524924426951204,0.9995436475049093,0.011087982501774448,11
Standard (c=1000),-3603.442546146812,0.4919752582601918,0.0004713608514471364,0.999985590295234,0.007814709559954298,11
Robust (c=5.14),-2794.709448976115,0.30443246850873035,0.02647276048435681,0.9963011229218383,0.013686421533572532,12
Standard (c=1000),-3606.9329845609213,0.4326788005352097,0.016560460731503968,0.9981980358631429,0.013317998878379592,12
Robust (c=5.14),-3411.7030331352717,0.2595575961527545,0.11515708140769708,0.9998944814958594,0.03409768864731105,13
Standard (c=1000),-4609.473485068449,0.4351667111944503,0.1532245816033139,0.999999997690982,0.044190158289156053,13
Robust (c=5.14),-2828.5211213364696,0.2709626352992382,0.06151518019106859,0.9940340496240438,0.017188776733836404,14
Standard (c=1000),-3697.6065596832223,0.42638534243812565,0.10342906886095586,0.9899683177896152,0.016328415360695746,14
Robust (c=5.14),-2810.798689904012,0.32462398388487224,0.02558336696969684,0.9964043264640796,0.011454172306451807,15
Standard (c=1000),-3684.2003930216874,0.43969340044707506,0.027434885928046687,0.9990758649509751,0.014554103095439353,15
Robust (c=5.14),-7691.310776817257,1.4820609777219578,0.06127616519192623,0.9944133451691383,0.0006889406617917748,16
Standard (c=1000),-3749.0494915685094,0.4394310121416261,0.08936890223342853,0.9879606107018933,0.01841216802561441,16
Robust (c=5.14),-8219.798857195188,1.9745461001362397,0.07062500469513576,0.9940260720573623,0.006885531035836905,17
Standard (c=1000),-8710.95576915183,1.936254135264815,0.06935099763642344,0.9941020888169562,4.5514766602806684e-05,17
Robust (c=5.14),-2773.4695130227688,0.32100038311109635,0.024469919242352745,0.9978546498152914,0.011958188286248762,18
Standard (c=1000),-3624.7821237516914,0.43417326114050836,0.0556740566603665,0.9943991261226811,0.014886249222303891,18
Robust (c=5.14),-2803.582821626346,0.3021744286219656,0.04898600375771209,0.9944305641415205,0.016558475169831825,19
Standard (c=1000),-4273.633340554117,0.631306710125151,0.1170408846768025,0.9880601547419199,0.02312840640852251,19
Robust (c=5.14),-2800.2602033310545,0.31064506510810364,0.034061632063860425,0.9974449540571959,0.015669025129014854,20
Standard (c=1000),-3679.2843418045795,0.450836048013357,0.06178976806937282,0.993694003918134,0.01820116531651313,20
Robust (c=5.14),-2801.7193184725247,0.3260827582239379,0.029401086255822266,0.9962919052277869,0.014922635104383773,21
Standard (c=1000),-3599.6084750062196,0.4622011060580015,0.0299731386605242,0.9964842276656954,0.007126235014895837,21
Robust (c=5.14),-2799.2766623990233,0.30650663793281036,0.05384994946369659,0.9936246902780151,0.013900124307208425,22
Standard (c=1000),-11595.499732787397,0.15353185245271542,0.049522834162546055,0.944064961367988,0.3351542708166008,22
Robust (c=5.14),-2842.621526606332,0.3251095870683262,0.09661435780626454,0.9897130757340007,0.01670072318480048,23
Standard (c=1000),-3707.707091630611,0.42831843858654506,0.10408635430430958,0.9900471462304172,0.016584791317174333,23
Robust (c=5.14),-4838.223120554728,0.8671818806428874,0.07572302680446244,0.9920664525868996,0.010922184847606532,24
Standard (c=1000),-4434.143394508539,0.7829084388022364,0.006062297554983213,0.999546725075912,0.004217829282554516,24
Robust (c=5.14),-3663.1227919048133,0.5534607931390555,0.06358328693065392,0.9958965312907314,0.009101652461418704,25
Standard (c=1000),-4809.4235984462175,0.8202804003281867,0.02816091095720827,0.9955492701817051,0.015087144487075193,25
Robust (c=5.14),-2797.8981112525453,0.352164455058449,0.014187970874735278,0.999093519700234,0.010596785291287558,26
Standard (c=1000),-3606.5923560754127,0.44345818988544666,0.012598360988318524,0.9994746432620473,0.012813056915883895,26
Robust (c=5.14),-2920.699122042123,0.2715458545502078,0.09921161907482445,0.9905653371155486,0.023792736285515648,27
Standard (c=1000),-11344.917011115775,0.2701880215645597,0.08185612001649362,0.9721226489511897,0.35949837312175076,27
Robust (c=5.14),-2790.4909815713163,0.3225982616796078,0.02718598883530607,0.9977029564601784,0.014622083549247001,28
Standard (c=1000),-3616.7347361326133,0.4651085253431222,0.005496229921968842,0.9987214126952542,0.01083863733151417,28
Robust (c=5.14),-2782.4192481889704,0.3419260484883419,0.030091990059713757,0.9964140218043954,0.00990250755829459,29
Standard (c=1000),-3681.943708715632,0.5434155776618362,0.02572898849314344,0.997395888902549,0.003960769804889051,29
Robust (c=5.14),-2826.1768864658425,0.3054652996421896,0.004119499168033339,0.9983877340172337,0.0155863209463557,30
Standard (c=1000),-3619.0704087481868,0.4531630113968265,0.040692590131934256,0.995431861497455,0.009656007174326388,30
Robust (c=5.14),-2857.1798511110383,0.30874195399413124,0.022732989511575596,1.0,0.015654506710745947,31
Standard (c=1000),-15617.662006560411,0.19552273605964435,0.10013414580989423,0.976866391099856,0.8227999175323768,31
Robust (c=5.14),-4743.853141731274,0.4993680764098059,0.3460873905444329,0.9437135353223641,0.03824860792503005,32
Standard (c=1000),-4421.307862820862,0.40795823864788355,0.13351096240165944,0.9999319948928276,0.03901630512658069,32
Robust (c=5.14),-5018.794522402042,0.5471832432786221,0.07906556914747262,0.9691337504423282,0.042002074114183705,33
Standard (c=1000),-3620.053704845067,0.4440022135842955,0.03527606966597323,0.9959193179625924,0.014710283998829149,33
Robust (c=5.14),-2817.208108641655,0.3002405296557323,0.06537771519965165,0.9922712408313971,0.013757993276531077,34
